日付,会場,レース番号,レース名,重賞,コースタイプ,距離,回り,天候,馬場状態,着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),race_id,horse_id,past_1_date,past_1_rank,past_1_time,past_1_run_style,past_1_race_name,past_1_last_3f,past_1_horse_weight,past_1_jockey,past_1_condition,past_1_odds,past_1_weather,past_2_date,past_2_rank,past_2_time,past_2_run_style,past_2_race_name,past_2_last_3f,past_2_horse_weight,past_2_jockey,past_2_condition,past_2_odds,past_2_weather,past_3_date,past_3_rank,past_3_time,past_3_run_style,past_3_race_name,past_3_last_3f,past_3_horse_weight,past_3_jockey,past_3_condition,past_3_odds,past_3_weather,past_4_date,past_4_rank,past_4_time,past_4_run_style,past_4_race_name,past_4_last_3f,past_4_horse_weight,past_4_jockey,past_4_condition,past_4_odds,past_4_weather,past_5_date,past_5_rank,past_5_time,past_5_run_style,past_5_race_name,past_5_last_3f,past_5_horse_weight,past_5_jockey,past_5_condition,past_5_odds,past_5_weather,past_1_distance,past_1_course_type,past_2_distance,past_2_course_type,past_3_distance,past_3_course_type,past_4_distance,past_4_course_type,past_5_distance,past_5_course_type,コーナー 通過順,馬体重 (増減)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,4,6,11,ブラックシールド,牡6,53.0,内田 博幸,2:00.9,クビ,15.0,0.0,35.1,,小栗 実,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5555.0,460(-2)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,5,4,8,インスタキング,牡5,54.0,北村 宏司,2:01.0,３／４,12.0,0.0,34.3,,蛯名 正義,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12101211.0,530(+12)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,6,3,5,マイネルニコラス,牡6,55.0,柴田 大知,2:01.1,３／４,14.0,0.0,35.1,,畠山 吉宏,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8777.0,516(0)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,7,5,10,ソリダリティ,牡6,55.0,三浦 皇成,2:01.1,クビ,9.0,0.0,34.8,,西園 翔太,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010109.0,510(0)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,8,7,14,エレクトリックブギ,牡4,55.0,菅原 明良,2:01.2,１／２,7.0,0.0,35.2,,鹿戸 雄一,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777.0,444(+6)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,9,4,7,ニューノーマル,牝6,53.0,木幡 巧也,2:01.3,クビ,13.0,0.0,35.5,,上原 佑紀,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5555.0,470(+10)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,10,6,12,モズロックンロール,牡5,56.0,大野 拓弥,2:01.4,３／４,4.0,0.0,34.9,,藤岡 健一,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10121111.0,510(-2)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,11,5,9,フレーヴァード,牡5,56.0,戸崎 圭太,2:01.5,１／２,3.0,0.0,34.9,,大竹 正博,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12131213.0,444(0)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,12,7,13,ラスカンブレス,牡4,56.0,C.ルメール,2:01.8,２,1.0,0.0,35.1,,林 徹,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14141214.0,486(+2)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,13,2,4,エリダヌス,牝5,55.0,石川 裕紀人,2:02.0,１ 1/4,6.0,0.0,35.2,,青木 孝文,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14141514.0,494(-2)
